sensor_a,sensor_b,sensor_c,sensor_d
10.0,8.2,7.46,12.5
12.0,9.8,8.94,14.9
14.0,11.4,10.42,17.3
16.0,13.0,11.9,19.7
18.0,14.6,13.38,22.1
20.0,16.2,14.86,24.5
22.0,17.8,16.34,26.9
24.0,19.4,17.82,29.3
26.0,21.0,19.3,31.7
28.0,22.6,20.78,34.1
30.0,24.2,22.26,36.5
32.0,25.8,23.74,38.9
34.0,27.4,25.22,41.3
36.0,29.0,26.7,43.7
38.0,30.6,28.18,46.1
40.0,32.2,29.66,48.5
42.0,33.8,31.14,50.9
44.0,35.4,32.62,53.3
46.0,37.0,34.1,55.7
48.0,38.6,35.58,58.1
50.0,40.2,37.06,60.5
52.0,41.8,38.54,62.9
54.0,43.4,40.02,65.3
56.0,45.0,41.5,67.7
58.0,46.6,42.98,70.1
60.0,48.2,44.46,72.5
